Vandportalen - www.vandportalen.dk
Lokalitet:;22.36 Storå, Ved Gl. Grydholt
Tidsserie:;Vandføring, Døgnmiddel (DMP)
Drives af Miljøstyrelsen
Dataperiode:;01-01-1917 00:00 - 12-10-2024 23:59 ( UTC +01:00:00 )
ks mrk.:;0= ikke-korrigerede data (rådata)
;1= data udtyndet for outliers
;2= kvalitetskontrolleret data
Udtræksdato: ;07-10-2024 09:14

WSP og dataleverandører til Vandportalen kan ikke drages til ansvar for målingernes rigtighed.

Dato (DK normaltid);Vandføring, Døgnmiddel (DMP) (l/s);ks mrk.
23-09-2004 00:00;12871.141;2
24-09-2004 00:00;12367.903;2
25-09-2004 00:00;10602.243;2
26-09-2004 00:00;9218.134;2
27-09-2004 00:00;8452.690;2
28-09-2004 00:00;7897.707;2
29-09-2004 00:00;7361.889;2
30-09-2004 00:00;6874.882;2
01-10-2004 00:00;6513.550;2
02-10-2004 00:00;6323.433;2
03-10-2004 00:00;7575.578;2
04-10-2004 00:00;8730.655;2
05-10-2004 00:00;9511.562;2
06-10-2004 00:00;8919.769;2
07-10-2004 00:00;9496.398;2
08-10-2004 00:00;12016.423;2
09-10-2004 00:00;11578.640;2
10-10-2004 00:00;9601.125;2
11-10-2004 00:00;8455.977;2
12-10-2004 00:00;7747.668;2
13-10-2004 00:00;7382.155;2
14-10-2004 00:00;7165.523;2
15-10-2004 00:00;6895.245;2
16-10-2004 00:00;7118.868;2
17-10-2004 00:00;7593.173;2
18-10-2004 00:00;10492.335;2
19-10-2004 00:00;11861.806;2
20-10-2004 00:00;10145.035;2
21-10-2004 00:00;9860.420;2
22-10-2004 00:00;11057.034;2
23-10-2004 00:00;13337.184;2
24-10-2004 00:00;16041.236;2
25-10-2004 00:00;16861.407;2
26-10-2004 00:00;16024.908;2
27-10-2004 00:00;16660.913;2
28-10-2004 00:00;15081.601;2
29-10-2004 00:00;13189.744;2
30-10-2004 00:00;12824.874;2
31-10-2004 00:00;14221.160;2
01-11-2004 00:00;12988.411;2
02-11-2004 00:00;11562.346;2
03-11-2004 00:00;10696.961;2
04-11-2004 00:00;10215.225;2
05-11-2004 00:00;10557.257;2
06-11-2004 00:00;11835.813;2
07-11-2004 00:00;10906.756;2
08-11-2004 00:00;9860.464;2
09-11-2004 00:00;9628.637;2
10-11-2004 00:00;10051.043;2
11-11-2004 00:00;11782.470;2
12-11-2004 00:00;11000.563;2
13-11-2004 00:00;12644.856;2
14-11-2004 00:00;12266.326;2
15-11-2004 00:00;10701.518;2
16-11-2004 00:00;10258.560;2
17-11-2004 00:00;9704.392;2
18-11-2004 00:00;11034.907;2
19-11-2004 00:00;12141.200;2
20-11-2004 00:00;10579.490;2
21-11-2004 00:00;9426.314;2
22-11-2004 00:00;9874.850;2
23-11-2004 00:00;13790.381;2
24-11-2004 00:00;12828.958;2
25-11-2004 00:00;11026.456;2
26-11-2004 00:00;10926.407;2
27-11-2004 00:00;13236.740;2
28-11-2004 00:00;14359.239;2
29-11-2004 00:00;12986.564;2
30-11-2004 00:00;11774.607;2
01-12-2004 00:00;10891.452;2
02-12-2004 00:00;10304.354;2
03-12-2004 00:00;9968.881;2
04-12-2004 00:00;9862.386;2
05-12-2004 00:00;9873.174;2
06-12-2004 00:00;9257.035;2
07-12-2004 00:00;8876.276;2
08-12-2004 00:00;8577.499;2
09-12-2004 00:00;8306.438;2
10-12-2004 00:00;8170.505;2
11-12-2004 00:00;8008.641;2
12-12-2004 00:00;7774.580;2
13-12-2004 00:00;7661.600;2
14-12-2004 00:00;7694.747;2
15-12-2004 00:00;8161.106;2
16-12-2004 00:00;10605.274;2
17-12-2004 00:00;11451.280;2
18-12-2004 00:00;12756.315;2
19-12-2004 00:00;12750.856;2
20-12-2004 00:00;12079.284;2
21-12-2004 00:00;15546.879;2
22-12-2004 00:00;15887.437;2
23-12-2004 00:00;16738.259;2
24-12-2004 00:00;18302.273;2
25-12-2004 00:00;18943.621;2
26-12-2004 00:00;18470.566;2
27-12-2004 00:00;16696.622;2
28-12-2004 00:00;14543.524;2
29-12-2004 00:00;13114.447;2
30-12-2004 00:00;12745.550;2
31-12-2004 00:00;14757.878;2
01-01-2005 00:00;14329.415;2
02-01-2005 00:00;13940.584;2
03-01-2005 00:00;15199.939;2
04-01-2005 00:00;15221.230;2
05-01-2005 00:00;15670.991;2
06-01-2005 00:00;14858.995;2
07-01-2005 00:00;14640.430;2
08-01-2005 00:00;16309.479;2
09-01-2005 00:00;19403.775;2
10-01-2005 00:00;19016.938;2
11-01-2005 00:00;18715.639;2
12-01-2005 00:00;17779.724;2
13-01-2005 00:00;17324.765;2
14-01-2005 00:00;16169.883;2
15-01-2005 00:00;14705.900;2
16-01-2005 00:00;13642.182;2
17-01-2005 00:00;12985.537;2
18-01-2005 00:00;14302.896;2
19-01-2005 00:00;16608.662;2
20-01-2005 00:00;16573.758;2
21-01-2005 00:00;17794.694;2
22-01-2005 00:00;17043.789;2
23-01-2005 00:00;15253.989;2
24-01-2005 00:00;13607.819;2
25-01-2005 00:00;12267.782;2
26-01-2005 00:00;11385.437;2
27-01-2005 00:00;10966.381;2
28-01-2005 00:00;10681.685;2
29-01-2005 00:00;10300.877;2
30-01-2005 00:00;10289.784;2
31-01-2005 00:00;11037.424;2
01-02-2005 00:00;11208.279;2
02-02-2005 00:00;10486.938;2
03-02-2005 00:00;10104.699;2
04-02-2005 00:00;9851.580;2
05-02-2005 00:00;9645.787;2
06-02-2005 00:00;9278.945;2
07-02-2005 00:00;8875.994;2
08-02-2005 00:00;8576.171;2
09-02-2005 00:00;8366.399;2
10-02-2005 00:00;9286.150;2
11-02-2005 00:00;11264.939;2
12-02-2005 00:00;11003.190;2
13-02-2005 00:00;10788.441;2
14-02-2005 00:00;10515.117;2
15-02-2005 00:00;9976.303;2
16-02-2005 00:00;9522.711;2
17-02-2005 00:00;9263.668;2
18-02-2005 00:00;9480.418;2
19-02-2005 00:00;13097.699;2
20-02-2005 00:00;13694.665;2
21-02-2005 00:00;12653.913;2
22-02-2005 00:00;11737.415;2
23-02-2005 00:00;10846.825;2
24-02-2005 00:00;10033.788;2
25-02-2005 00:00;9750.184;2
26-02-2005 00:00;9768.038;2
27-02-2005 00:00;9188.149;2
28-02-2005 00:00;8690.584;2
01-03-2005 00:00;8722.006;2
02-03-2005 00:00;8819.825;2
03-03-2005 00:00;8281.338;2
04-03-2005 00:00;7858.301;2
05-03-2005 00:00;7715.746;2
06-03-2005 00:00;7438.204;2
07-03-2005 00:00;7354.336;2
08-03-2005 00:00;7488.323;2
09-03-2005 00:00;7682.332;2
10-03-2005 00:00;7737.615;2
11-03-2005 00:00;9683.233;2
12-03-2005 00:00;13589.342;2
13-03-2005 00:00;11581.872;2
14-03-2005 00:00;10251.734;2
15-03-2005 00:00;10581.412;2
16-03-2005 00:00;12865.836;2
17-03-2005 00:00;15582.744;2
18-03-2005 00:00;15552.042;2
19-03-2005 00:00;15779.762;2
20-03-2005 00:00;14086.268;2
21-03-2005 00:00;12387.406;2
22-03-2005 00:00;11609.336;2
23-03-2005 00:00;11011.299;2
24-03-2005 00:00;10443.096;2
25-03-2005 00:00;10058.973;2
26-03-2005 00:00;10004.097;2
27-03-2005 00:00;9943.374;2
28-03-2005 00:00;9454.894;2
29-03-2005 00:00;9019.632;2
30-03-2005 00:00;8664.576;2
31-03-2005 00:00;8347.218;2
01-04-2005 00:00;8110.994;2
02-04-2005 00:00;7935.357;2
03-04-2005 00:00;7742.296;2
04-04-2005 00:00;7600.779;2
05-04-2005 00:00;7623.621;2
06-04-2005 00:00;7563.187;2
07-04-2005 00:00;8649.483;2
08-04-2005 00:00;9225.653;2
09-04-2005 00:00;8597.367;2
10-04-2005 00:00;7936.658;2
11-04-2005 00:00;8161.209;2
12-04-2005 00:00;7729.740;2
13-04-2005 00:00;7561.795;2
14-04-2005 00:00;7770.375;2
15-04-2005 00:00;8539.933;2
16-04-2005 00:00;8093.503;2
17-04-2005 00:00;7565.211;2
18-04-2005 00:00;7263.185;2
19-04-2005 00:00;7018.301;2
20-04-2005 00:00;6773.476;2
21-04-2005 00:00;6632.331;2
22-04-2005 00:00;6558.185;2
23-04-2005 00:00;6462.601;2
24-04-2005 00:00;6384.122;2
25-04-2005 00:00;6294.981;2
26-04-2005 00:00;6235.215;2
27-04-2005 00:00;6150.570;2
28-04-2005 00:00;6381.321;2
29-04-2005 00:00;6329.119;2
30-04-2005 00:00;6245.724;2
01-05-2005 00:00;6219.807;2
02-05-2005 00:00;6595.454;2
03-05-2005 00:00;7096.392;2
04-05-2005 00:00;6833.693;2
05-05-2005 00:00;7364.752;2
06-05-2005 00:00;6841.673;2
07-05-2005 00:00;6681.876;2
08-05-2005 00:00;6448.817;2
09-05-2005 00:00;6817.343;2
10-05-2005 00:00;6960.220;2
11-05-2005 00:00;6614.181;2
12-05-2005 00:00;6364.465;2
13-05-2005 00:00;6204.539;2
14-05-2005 00:00;6001.193;2
15-05-2005 00:00;5818.694;2
16-05-2005 00:00;5676.302;2
17-05-2005 00:00;5554.135;2
18-05-2005 00:00;5461.612;2
19-05-2005 00:00;5400.668;2
20-05-2005 00:00;5501.542;2
21-05-2005 00:00;7763.211;2
22-05-2005 00:00;7518.332;2
23-05-2005 00:00;6439.458;2
24-05-2005 00:00;6075.239;2
25-05-2005 00:00;5813.955;2
26-05-2005 00:00;5632.405;2
27-05-2005 00:00;5421.590;2
28-05-2005 00:00;5224.539;2
29-05-2005 00:00;5049.654;2
30-05-2005 00:00;4893.741;2
31-05-2005 00:00;4950.056;2
01-06-2005 00:00;5271.709;2
02-06-2005 00:00;5130.415;2
03-06-2005 00:00;5781.878;2
04-06-2005 00:00;6173.949;2
05-06-2005 00:00;6732.581;2
06-06-2005 00:00;5894.131;2
07-06-2005 00:00;5469.251;2
08-06-2005 00:00;5211.023;2
09-06-2005 00:00;5047.408;2
10-06-2005 00:00;4945.121;2
11-06-2005 00:00;4820.417;2
12-06-2005 00:00;5283.010;2
13-06-2005 00:00;5419.582;2
14-06-2005 00:00;5693.540;2
15-06-2005 00:00;5104.685;2
16-06-2005 00:00;4821.608;2
17-06-2005 00:00;4765.192;2
18-06-2005 00:00;4651.249;2
19-06-2005 00:00;4443.421;2
20-06-2005 00:00;4337.787;2
21-06-2005 00:00;4256.759;2
22-06-2005 00:00;4182.302;2
23-06-2005 00:00;4047.289;2
24-06-2005 00:00;3938.271;2
25-06-2005 00:00;3827.954;2
26-06-2005 00:00;3711.801;2
27-06-2005 00:00;3603.078;2
28-06-2005 00:00;3565.074;2
29-06-2005 00:00;3499.561;2
30-06-2005 00:00;3403.317;2
01-07-2005 00:00;3298.458;2
02-07-2005 00:00;3218.571;2
03-07-2005 00:00;3170.709;2
04-07-2005 00:00;3196.528;2
05-07-2005 00:00;3279.149;2
06-07-2005 00:00;3901.411;2
07-07-2005 00:00;3735.931;2
08-07-2005 00:00;3468.389;2
09-07-2005 00:00;3295.106;2
10-07-2005 00:00;3136.794;2
11-07-2005 00:00;3067.728;2
12-07-2005 00:00;3026.778;2
13-07-2005 00:00;2983.320;2
14-07-2005 00:00;2941.170;2
15-07-2005 00:00;2968.615;2
16-07-2005 00:00;6154.596;2
17-07-2005 00:00;5606.974;2
18-07-2005 00:00;4385.606;2
19-07-2005 00:00;4003.646;2
20-07-2005 00:00;4376.687;2
21-07-2005 00:00;5381.929;2
22-07-2005 00:00;5133.804;2
23-07-2005 00:00;4528.971;2
24-07-2005 00:00;4210.941;2
25-07-2005 00:00;4017.804;2
26-07-2005 00:00;3871.575;2
27-07-2005 00:00;3766.765;2
28-07-2005 00:00;3673.206;2
29-07-2005 00:00;3640.264;2
30-07-2005 00:00;4042.865;2
31-07-2005 00:00;4655.287;2
01-08-2005 00:00;4867.768;2
02-08-2005 00:00;4734.058;2
03-08-2005 00:00;4341.342;2
04-08-2005 00:00;4325.284;2
05-08-2005 00:00;4479.271;2
06-08-2005 00:00;5664.523;2
07-08-2005 00:00;5137.588;2
08-08-2005 00:00;4682.892;2
09-08-2005 00:00;5200.191;2
10-08-2005 00:00;5042.796;2
11-08-2005 00:00;4715.051;2
12-08-2005 00:00;4572.368;2
13-08-2005 00:00;4420.740;2
14-08-2005 00:00;4231.267;2
15-08-2005 00:00;4125.005;2
16-08-2005 00:00;4050.435;2
17-08-2005 00:00;3955.264;2
18-08-2005 00:00;3888.709;2
19-08-2005 00:00;3808.957;2
20-08-2005 00:00;3690.639;2
21-08-2005 00:00;3604.992;2
22-08-2005 00:00;3568.396;2
23-08-2005 00:00;3587.619;2
24-08-2005 00:00;3612.229;2
25-08-2005 00:00;3776.761;2
26-08-2005 00:00;5438.691;2
27-08-2005 00:00;5383.806;2
28-08-2005 00:00;4888.913;2
29-08-2005 00:00;4493.471;2
30-08-2005 00:00;4243.894;2
31-08-2005 00:00;4077.870;2
01-09-2005 00:00;3923.319;2
02-09-2005 00:00;3990.892;2
03-09-2005 00:00;3884.014;2
04-09-2005 00:00;3711.598;2
05-09-2005 00:00;3620.672;2
06-09-2005 00:00;3585.813;2
07-09-2005 00:00;3676.599;2
08-09-2005 00:00;3739.426;2
09-09-2005 00:00;3645.548;2
10-09-2005 00:00;3547.636;2
11-09-2005 00:00;3467.163;2
12-09-2005 00:00;3406.585;2
13-09-2005 00:00;3389.493;2
14-09-2005 00:00;3433.704;2
15-09-2005 00:00;3794.137;2
16-09-2005 00:00;3659.665;2
17-09-2005 00:00;3473.672;2
18-09-2005 00:00;3413.918;2
19-09-2005 00:00;3413.020;2
20-09-2005 00:00;3368.462;2
21-09-2005 00:00;3365.984;2
22-09-2005 00:00;3354.504;2
23-09-2005 00:00;3347.429;2
24-09-2005 00:00;3314.152;2
25-09-2005 00:00;3263.017;2
26-09-2005 00:00;3245.032;2
27-09-2005 00:00;3274.031;2
28-09-2005 00:00;3640.106;2
